%Manually identified time intervals when MAVEN observations are not suitable for SW
%MAG rolls
20151116T0015,20151126T0945
20151128T0645,20151128T1035
20151128T1625,20151202T1935
20151202T1955,20151203T1900
20151202T1955,20151203T0030
20151205T0215,20151207T0800
20151207T1805,20151208T1600
20151208T2055,20151210T1230
20151211T0825,20151211T1545
20151214T0805,20151214T1615
20151214T2155,20151215T0630
20151215T0645,20151215T2015
20151226T0503,20151226T0907
20151226T0917,20151226T1333
20160104T0947,20160104T0948
20160121T0915,20160121T1155
20160122T0750,20160122T1015
20160122T2100,20160122T2330
%Feb
20160209T0715,20160209T0724
20160209T0739,20160209T0759
20160209T1655,20160210T0020
20160211T1740,20160211T1750
20160216T1100,20160216T1130
20160216T1510,20160216T1900
20160219T0545,20160219T0630
20160226T1320,20160226T1350
20160226T1430,20160226T1730
20160226T1910,20160226T2310
20160226T2325,20160227T0305
20160302T0210,20160302T0230
20160304T0000,20160304T0400
20160304T0405,20160304T0710
20160304T1645,20160304T2055
20160304T2105,20160305T0110
20160305T0630,20160305T1115
20160305T1530,20160305T1535
20160306T0500,20160306T0840
20160309T1815,20160309T2230
20160309T2245,20160310T0310
20160313T0850,20160313T1135
20160319T0845,20160319T1200
20160319T1753,20160319T2043
20160322T2155,20160323T0130
20160323T1550,20160323T1930
20160324T1900,20160324T2205
20160325T0830,20160325T1200
20160327T1000,20160327T1345
20160330T0040,20160330T0041
20160401T1110,20160401T1445
20160401T2000,20160401T2337
20160406T0318,20160406T0653
20160406T0720,20160407T0047
20160408T0005,20160408T0405
20160408T0900,20160410T0100
20160410T0107,20160411T1240
20160412T2044,20160413T1430
20160520T1340,20160521T1515
20160521T1546,20160523T0307
20160523T0316,20160528T1300
20160528T1430,20160528T1752
20160529T0730,20160529T1620
20160529T1633,20160530T0100
20160530T0530,20160530T1000
20160530T1015,20160530T1407
20160530T1420,20160530T1445
20160530T2345,20160531T0352
20160531T0430,20160531T0844
20160531T0850,20160531T1730
20160604T0250,20160604T2000
20160604T2100,20160605T0030
20160605T0155,20160605T0420
20160605T0540,20160605T0905
20160605T1030,20160605T1340
20160617T0945,20160617T1005
20160609T0706,20160609T0707
20160610T0220,20160610T0445
20160617T0230,20160617T0510
20160625T0345,20160625T0408
20160625T0420,20160625T0645
20160705T1016,20160705T1017
20160710T1515,20160710T1550
20160710T1607,20160710T1800
20160720T0825,20160720T0855
20160721T1235,20160721T1500
20160721T1635,20160721T1900
20160721T2130,20160721T2340
20160722T0110,20160722T0420
20160722T0600,20160722T0820
20160722T1840,20160722T2200
20160724T1520,20160724T1845
20160731T0114,20160731T0320
20160807T1110,20160807T1506
20160807T1545,20160807T2210
20160819T1707,20160819T1725
20160820T2015,20160820T2110
20160826T1900,20160826T1915
20160909T0835,20160909T1107
20160910T1605,20160910T1720
20160911T1130,20160911T1350
20160923T0502,20160923T0503
20160924T1855,20160924T2150
20161008T0945,20161008T1920
20161011T1735,20161012T0150
20161201T1230,20161203T0955
20161213T1545,20161213T2333
20161213T2340,20161214T1330
20161214T1410,20161214T1807
20161214T1900,20161214T2240
20161216T0801,20161216T0802
20161217T2040,20161218T0025
20170104T0800,20170104T1055
20170105T0700,20170105T1050
20170105T1420,20170105T1500
20170106T0005,20170106T0050
20170107T0300,20170107T0630
20170108T1315,20170108T1345
20170108T1740,20170108T2042
20170119T2010,20170119T2250
20170130T0725,20170130T1045
20170131T1507,20170131T1635
20170208T1545,20170208T1645
20170211T0830,20170211T1125
20170303T2235,20170304T1150
20170304T1208,20170304T2040
20170304T2145,20170305T0140
20170305T0153,20170305T0603
20170305T0608,20170305T1010
20170305T1150,20170305T1450
20170305T1600,20170305T1930
20170305T2046,20170306T0000
20170306T0130,20170306T0417
20170309T1448,20170309T1510
20170528T0945,20170528T1420
20170623T1615,20170623T1630
20170626T2213,20170627T0145
20170707T0300,20170707T0630
20170712T0515,20170712T0835
20170715T0935,20170715T0936
20170719T2335,20170719T0205
20170722T1010,20170722T1030
20170724T0727,20170724T1030
20170801T1430,20170801T1745
20170801T1900,20170801T2230
20170806T0302,20170806T0303
20170807T1115,20170807T1403
20170812T1800,20170812T2040
20170827T1444,20170827T1800
20170901T0515,20170901T0945
20171205T1500,20171205T1915
20171210T0440,20171210T0812
20171210T1715,20171210T2143
20171213T2003,20171213T2320
20171215T2140,20171216T0045
20171216T1445,20171216T1850
%2018
20180114T1610,20180114T1810
20180122T2125,20180123T0015
20180123T1025,20180123T1310
20180125T2021,20180125T2022
20181006T1900,20181006T2130
20181015T1400,20181015T1710
20180121T1300,20180121T1430
20180127T1935,20180127T1950
20180202T2210,20180203T0007
20180216T1114,20180216T1120
20180321T0255,20180321T0257
20180615T0116,20180615T1500
20180617T0250,20180620T0100
20180620T1010,20180620T1500
20180620T1530,20180620T1845
20180620T2345,20180622T2007
20180625T1522,20180626T0837
20180706T0100,20180706T0330
20180707T1630,20180707T2000
20180718T2000,20180718T2215
20180719T0900,20180719T1145
20180720T1935,20180720T1937
20180724T1245,20180724T1545
20180728T1030,20180728T1310
20180801T1542,20180801T1600
20180802T0610,20180802T0845
20180819T0515,20180819T0532
20180819T1438,20180819T1439
20180825T1100,20180825T1101
20180917T0201,20180917T0202
20181020T1255,20181020T1545
20181020T1730,20181020T2015
20181202T2213,20181202T2215
20181212T1945,20181212T1950
20181212T2022,20181212T2245
20181229T1015,20181229T1100
20181230T1245,20181230T1300
20190102T1340,20190102T1552
20190103T2000,20190103T2222
20190206T0545,20190206T0845
20190307T2320,20190308T0020
20190312T0020,20190312T0040
20190211T2215,20190211T2300
20190212T0015,20190212T0045
20190308T0010,20190308T0020
20190308T0025,20190308T0335
20190508T0700,20190510T0230
20190717T0910,20190717T1550
20190817T1000,20190817T1230
20190821T0112,20190821T0405
20191031T0845,20191031T1530
20191103T1600,20191103T1914
20191113T0310,20191113T0350
20191113T0640,20191113T0715
20191124T1500,20191124T1720
20191208T0800,20191208T1035
%2020
20200102T0800,20200102T1115
20200328T1245,20200328T1515
20200402T0425,20200402T0635
20200430T1015,20200430T1255
20200825T0150,20200825T0422
20200830T0410,20200830T0645
%2021
20210104T0545,20210104T1250
20210119T0330,20210119T0635
20210123T0120,20210123T0140
20210126T1930,20210126T2000
20210126T2310,20210126T2325
20210127T2100,20210127T2110
20210129T0930,20210129T1140
20210129T1310,20210129T1317
20210129T1600,20210129T1615
20210129T1640,20210129T1647
20210129T1945,20210129T2015
20210130T1752,20210130T2055
20210210T2100,20210210T2340
20210202T0612,20210202T0705
20210203T1920,20210203T2145
20210208T1045,20210208T1110
20210215T2323,20210215T2324
20210303T1415,20210303T1505
20210316T1325,20210316T1644
20210523T0725,20210524T0815
20210524T0845,20210526T1100
20210529T0030,20210529T0340
20210602T1320,20210603T0635
20210714T1900,20210715T0115
20211005T1610,20211005T1915
20211005T1950,20211005T2300
20211005T2340,20211006T0203
20211006T0625,20211007T0005
20211007T0830,20211007T1100
20211007T1140,20211007T1440
20211008T0200,20211008T0510
20211008T0600,20211008T0855
20211008T1605,20211008T2305
20211008T2350,20211009T0240
20211015T0259,20211015T0300
20211015T1840,20211015T2100
20211016T1950,20211016T2220
20211021T0750,20211021T1020
20211022T0200,20211022T0420
20211022T1250,20211022T1505
20211023T0645,20211023T0920
20211031T1315,20211031T1600
%Nov
20211101T1425,20211101T1431
%Dec
20211206T1500,20211206T1745
20211210T0203,20211210T0530
20211210T0800,20211210T1230
20211210T1230,20211210T1600
20211210T1600,20211211T0230
20211213T2015,20211213T2300
20211213T2335,20211213T2340
20211213T2350,20211214T0005
20211219T0305,20211219T0544
20211220T2230,20211221T0100
20211222T2115,20211223T0000
%2022
20220422T2145,20220422T2200
20220423T0120,20220423T0135
20220423T1215,20220423T1230
20220423T0640,20220423T0850
20220423T1350,20220423T1605
20220423T2120,20220423T2315
20220424T0045,20220424T0255
20220424T0333,20220424T0345
20220424T0800,20220424T1005
20220424T1510,20220424T1720
20220424T2335,20220425T0150
20220425T0140,20220425T0820
20220425T0845,20220425T1126
20220425T1128,20220425T1203
20220425T1215,20220425T1500
20220425T1540,20220425T1602
20220516T0940,20220516T1225
20220517T1000,20220517T1340
20220517T1750,20220517T2045
20220517T2108,20220518T0010
20220518T0445,20220518T0743
20220519T0620,20220519T0900
20220519T2307,20220519T2325
20220520T0245,20220520T0300
20220520T0625,20220520T0640
20220520T1340,20220520T1350
20220520T1425,20220520T1658
20220520T1720,20220520T1725
20220521T0033,20220521T0040
20220607T0700,20220616T0400
20220610T0045,20220616T1815
20220620T1940,20220621T0000
20220716T1230,20220717T0900
20220718T0730,20220718T1050
20220719T1235,20220720T2000
20220720T2055,20220721T0010
20220721T0025,20220721T0705
20220721T0730,20220721T1437
20220721T1525,20220721T1750
20220731T0920,20220731T1205
20220731T1250,20220731T1520
20220731T1625,20220731T1905
20220801T0251,20220801T0255
20220801T0318,20220801T0320
20220801T0328,20220801T0545
20220801T0925,20220801T1005
20220801T1800,20220801T2020
20220802T0500,20220802T0715
20220802T1525,20220802T1800
20220803T0115,20220803T0128
20220803T0833,20220803T0840
20220803T0955,20220803T1235
20220803T1325,20220803T1607
20220803T1650,20220803T1907
20220803T2035,20220803T2237
20220804T0725,20220804T0943
20220804T1316,20220804T1322
20220804T1800,20220804T2033
20220805T0025,20220805T0032
20220805T0110,20220805T0115
20220805T0448,20220805T0720
20220805T0827,20220805T1050
20220805T1215,20220805T1502
20220805T1550,20220805T1800
20220805T1925,20220805T2152
20220805T2307,20220806T0107
20220806T0946,20220806T0952
20220806T1655,20220806T1915
20220807T0030,20220807T0307
20220807T0400,20220807T0617
20220807T0730,20220807T0945
20220807T1105,20220807T1315
20220807T1445,20220807T1650
20220807T1815,20220807T2035
20220807T2145,20220808T0000
20220808T0505,20220808T0730
20220808T0752,20220808T0805
20220808T0835,20220808T1055
20220808T1225,20220808T1435
20220808T1545,20220808T1807
20220808T1925,20220809T0935
20220809T1707,20220809T1930
20220809T2047,20220809T2315
20220810T0750,20220810T1000
20220810T2215,20220811T0100
20220811T0203,20220811T0426
20220811T1618,20220811T1632
20220812T0737,20220812T1000
20220812T1121,20220812T1340
20220812T1353,20220812T1358
20220812T1437,20220812T1725
20220812T1800,20220812T2050
20220812T2055,20220812T2102
20220812T2152,20220812T2215
20220813T0044,20220813T0153
20220813T0414,20220813T0427
20220813T0530,20220813T0753
20220813T0847,20220813T1130
20220813T1135,20220813T1157
20220813T1205,20220813T1217
20220813T1235,20220813T1530
20220813T1535,20220813T1545
20220813T1605,20220813T1850
20220813T2015,20220813T2230
20220813T2250,20220814T0200
20220814T0310,20220814T0330
20220814T0335,20220814T0557
20220814T0720,20220814T0938
20220814T1417,20220814T1427
20220814T1434,20220814T1655
20220814T1807,20220814T2044
20220814T2120,20220815T0025
20220815T0357,20220815T0408
20220815T0448,20220815T0743
20220815T0900,20220815T1120
20220815T1925,20220815T1938
20220815T2230,20220815T2237
20220815T2322,20220815T2207
20220816T0645,20220816T0910
20220816T1030,20220816T1300
20220816T1410,20220816T1700
20220816T1707,20220816T2047
20220816T2115,20220817T0000
20220817T0100,20220817T0337
20220817T0450,20220817T0720
20220817T0840,20220817T1050
20220817T1200,20220817T1430
20220817T1552,20220817T1805
20220817T1930,20220817T2153
20220817T2300,20220818T0137
20220818T0230,20220818T0605
20220818T0617,20220818T0915
20220818T1000,20220818T1250
20220818T1337,20220818T1620
20220818T1730,20220818T1945
20220819T0410,20220819T0706
20220819T2252,20220820T0120
20220820T0215,20220820T0437
20220820T0655,20220820T0915
20220820T0950,20220820T1225
20220820T1330,20220820T1552
20220820T1604,20220820T1652
20220820T1715,20220820T1920
20220820T2055,20220820T2255
20220821T0040,20220821T0345
20220821T0405,20220821T0630
20220821T0738,20220821T0741
20220821T0755,20220821T1000
20220821T1135,20220821T1403
20220821T1515,20220821T1730
20220821T1840,20220822T0105
20220822T0535,20220822T0815
20220822T1305,20220822T1510
20220822T1623,20220822T1638
20220822T1652,20220822T1855
20220822T2025,20220822T2230
20220822T2245,20220822T2305
20220823T0020,20220823T0217
20220823T0231,20220823T0236
20220823T0350,20220823T0552
20220823T0640,20220823T0650
20220823T0710,20220823T0930
20220823T1107,20220823T1322
20220823T1722,20220823T1758
20220823T2205,20220824T0035
20220824T0517,20220824T0730
20220824T0742,20220824T0745
20220824T0900,20220824T1132
20220824T2015,20220824T2220
20220824T2340,20220825T0145
20220825T0322,20220825T0537
20220825T1306,20220825T1315
20220825T1410,20220825T1650
20220825T1710,20220825T1722
20220825T1730,20220825T1743
20220825T2035,20220825T2040
20220825T2100,20220825T2129
20220825T2040,20220826T0000
20220826T0422,20220826T0450
20220826T0757,20220826T0808
20220826T0815,20220826T0822
20220826T1152,20220826T1200
20220826T1615,20220826T1820
20220826T1930,20220826T2205
20220826T2316,20220827T0135
20220827T0310,20220827T0520
20220827T1355,20220827T1635
20220827T1722,20220827T2015
20220827T2115,20220827T2350
20220828T0047,20220828T0325
20220828T0437,20220828T0700
20220828T0800,20220828T1100
20220828T1200,20220828T1430
20220828T1915,20220828T2200
20220829T0605,20220829T0852
20220829T0937,20220829T1230
20220829T1345,20220829T1600
20220830T1145,20220830T1345
20220830T1522,20220830T1725
20220830T1905,20220830T2110
20220830T2255,20220831T0045
20220831T0220,20220831T0440
20220831T0545,20220831T0808
20220831T0940,20220831T1250
20220831T1301,20220831T1312
20220831T1317,20220831T1625
20220831T1655,20220831T1915
%Sept
20220901T0405,20220901T0615
20220901T1440,20220901T1715
20220901T2215,20220902T0045
20220902T0812,20220902T0835
20220902T0850,20220902T0907
20220902T0915,20220902T1130
20220902T1147,20220902T1200
20220902T1205,20220902T1535
20220902T1640,20220902T1915
20220902T2345,20220903T0215
20220903T0345,20220903T0552
20220903T0617,20220903T0620
20220903T0648,20220903T0925
20220903T0938,20220903T1002
20220903T1007,20220903T1310
20220903T1322,20220903T1330
20220903T1425,20220903T1645
20220903T2145,20220904T0008
20220904T0140,20220904T0355
20220904T0500,20220904T0505
20220904T0515,20220904T0751
20220904T0845,20220904T1135
20220904T1220,20220904T1445
20220904T1852,20220904T1902
20220905T0540,20220905T0544
20220905T1100,20220905T1245
20220905T0622,20220905T0800
20220905T1745,20220905T2030
20220906T0100,20220906T0330
20220906T1508,20220906T1534
20220906T1542,20220906T1750
20220906T1830,20220906T1845
20220906T1925,20220906T2300
20220906T2315,20220907T0120
20220907T0233,20220907T0505
20220907T1012,20220907T1230
20220907T1345,20220907T1615
20220907T1631,20220907T1646
20220908T1113,20220908T1130
20220908T1134,20220908T1430
20220908T1450,20220908T1455
20220908T1800,20220908T1807
20220908T1847,20220908T1900
20220908T2245,20220909T0200
20220909T0230,20220909T0500
20220909T1240,20220909T1255
20220909T1625,20220909T1950
20220909T2020,20220909T2305
20220909T2322,20220909T2330
20220909T2346,20220910T0335
20220910T0400,20220910T1055
20220910T1120,20220910T1340
20220910T1405,20220910T1428
20220910T1507,20220910T1745
20220911T1255,20220911T1550
20220911T1645,20220911T1950
20220911T2322,20220911T2335
20220912T0000,20220912T0255
20220912T2207,20220913T0107
20220913T0132,20220913T0137
20220913T0145,20220913T0429
20220913T0450,20220913T0515
20220915T1222,20220915T1515
20220915T2245,20220915T2252
20220917T1900,20220917T2210
20220917T2225,20220918T0205
20220918T0240,20220918T1232
20220918T2245,20220918T2345
20220919T1505,20220919T1755
20220919T2240,20220920T0115
20220927T0610,20220927T0950
20221003T0610,20221004T0715
20221004T0945,20221004T1315
%Dec
20221203T1437,20221203T1745
20221203T1820,20221203T2108
20221206T0840,20221206T1125
20221209T0930,20221209T1215
20221210T2305,20221210T2346
20221217T1125,20221217T1355
20221217T1830,20221217T2112
20221222T1850,20221222T1923
20221223T0246,20221223T0902
20221223T0955,20221223T1227
20221223T1334,20221223T1605
20221223T2052,20221223T2322
20221224T2234,20221225T0050
20221225T0215,20221225T0430
20221225T0552,20221225T0825
20221226T0007,20221228T0215
20221228T0650,20221228T0920
20221228T1415,20221228T1637
20221228T1805,20221228T2030
20221228T2135,20221229T0010
20221229T1210,20221229T1450
20221230T0235,20221230T0535
20221231T0343,20221231T0346
20221231T0404,20221231T0435
20221231T1530,20221231T1750
%2023
20230101T0210,20230101T0445
20230102T0345,20230102T0615
20230103T1640,20230103T1850
20230104T0230,20230104T0250
20230104T0555,20230104T0615
20230104T1015,20230104T1020
20230107T0337,20230107T0350
20230107T1152,20230107T1427
20230107T2255,20230108T0130
20230108T0155,20230108T0205
20230108T0210,20230108T0452
20230108T0647,20230108T0700
20230109T2230,20230110T0037
20230110T2020,20230110T2350
20230110T2305,20230110T2346
20230111T1652,20230111T1659
20230112T1625,20230112T1830
20230112T2245,20230112T2257
20230112T2340,20230113T0147
20230113T1415,20230113T1707
20230115T0230,20230115T0515
20230115T0615,20230115T0905
20230115T1335,20230115T1600
20230115T2110,20230115T2335
20230116T0025,20230116T0252
20230116T1408,20230116T1413
20230116T1415,20230116T1428
20230116T1432,20230116T1448
20230116T1903,20230116T2157
20230116T2235,20230117T0045
20230117T0210,20230117T0430
20230117T0937,20230117T1145
20230117T1250,20230117T1255
20230117T1315,20230117T1515
20230117T1546,20230117T1558
20230117T2025,20230117T2250
20230118T1450,20230118T1705
20230119T1207,20230119T1515
20230119T1543,20230119T1850
20230119T1937,20230119T2300
20230119T2314,20230120T0247
20230120T0610,20230120T0920
20230120T1330,20230120T1345
20230120T0125,20230120T0330
20230122T0615,20230122T0900
20230124T0902,20230124T1230
20230124T1235,20230124T1530
20230124T1630,20230124T2315
20230124T2350,20230125T0245
20230201T0015,20230201T0230
20230201T0345,20230201T0622
20230201T0737,20230201T0945
20230201T1115,20230201T1338
20230201T1450,20230201T1725
20230201T1830,20230201T2105
20230201T2220,20230202T0335
20230202T1615,20230202T1845
20230202T2000,20230202T2225
20230202T2352,20230203T0200
20230203T0337,20230203T0535
20230203T0700,20230203T0935
20230204T0847,20230204T1110
20230204T1220,20230204T1455
20230204T1538,20230204T1837
20230204T1922,20230204T2220
20230204T2255,20230205T0148
20230205T0252,20230205T0530
20230205T0610,20230205T0922
20230205T1007,20230205T1245
20230205T1340,20230205T1633
20230205T1730,20230205T2000
20230206T1915,20230206T2130
20230206T2248,20230207T0115
20230207T0152,20230207T0202
20230207T0230,20230207T0448
20230209T1635,20230209T1929
20230215T1448,20230215T1820
20230216T0535,20230216T0815
%Sept
20230927T0158,20230927T2338
20230929T2320,20230930T0230
%Oct
20231003T0034,20231003T0035
20231014T1815,20231014T2016
%Nov
20231122T0523,20231122T0800
20231126T1421,20231126T1422
%Dec
20231210T0651,20231210T1015
